Diagnosis,State,Total,    Age 18 - 24,    Age 25 - 39,    Age 40 - 54,    Age 55 - 64,    Age 65 and above,    Male,    Female,    Hispanic or Latino (may be of any race),"    White alone, not Hispanic","    Black alone, not Hispanic","    Asian alone, not Hispanic","    Two or more races + Other races, not Hispanic",    Less than high school,    High school or GED,    Some college/associate’s degree,    Bachelor’s degree or higher,    Married,    Widowed,    Divorced/separated,    Never married,No Marriage Status,    1 person in the household,    2 people in the household,    3 people in the household,    4 people in the household,    5 people in the household,    6 people in the household,    7 or more people in the household,    Children in household,    No children,    Received loss of employment income,    Did not receive loss of employment income,    Did not report loss of employment income,Employed,Unemployed,    Did not report employment status,"    Less than $25,000","    $25,000 - $34,999","    $35,000 - $49,999","    $50,000 - $74,999","    $75,000 - $99,999","    $100,000 - $149,999","    $150,000 - $199,999","    $200,000 and above",    Did not report HH income,    Regular income sources like those received before the pandemic,    Credit cards or loans,    Money from savings or selling assets or possessions,    Borrowing from friends or family,    Unemployment insurance (UI) benefit payments,    Stimulus (economic impact) payment,    Money saved from deferred or forgiven payments (to meet spending needs),    Supplemental Nutrition Assistance Program (SNAP),    Other,    Did not report money lending in past 7 days,    Serving on active duty,    Serving in Reserve or National Guard,    Spouse serving on active duty,    Spouse serving in Reserve or National Guard,    No active duty service (self or spouse),    Did not report Military status,    No difficulty seeing,    Some difficulty seeing,    A lot of difficulty seeing,Blind,    Did not report difficulty seeing,    No difficulty hearing,    Some difficulty hearing,    A lot of difficulty hearing,Deaf,    Did not report difficulty hearing,    No difficulty remembering/concetrating,    Some difficulty remembering/concetrating,    A lot of difficulty remembering/concetrating,    Cannot do at all remembering/concetrating,    Did not report difficulty remembering/concetrating,    No difficulty walking,    Some difficulty walking,    A lot of difficulty walking,    Cannot walk at all,    Did not report difficulty walking
No,DC,489845,11281,218072,119917,50850,89725,233878,255967,36358,218006,184416,25005,26061,31661,79253,96551,282380,199943,15686,61339,209308,3569,67127,186722,86882,42481,59091,21916,25626,158006,331839,68354,419829,1662,315457,170365,4023,27250,21559,18437,30598,33956,67618,46390,84322,159716,324767,110627,74785,52937,16651,113414,15183,23025,8180,94623,1647,2056,2860,1812,482566,5118,270684,83833,5276,816,129236,339109,19285,405,1758,129288,226951,121143,12599,-,129152,300813,54604,3756,1521,129152
Not sure,DC,8193,-,354,4214,-,3626,4214,3979,3700,279,4214,-,-,3626,-,4214,354,2107,-,5732,354,-,75,2386,2107,-,-,-,3626,5732,2461,2386,5807,-,3979,4214,-,-,-,2107,-,-,75,-,-,6012,354,279,-,-,2386,2107,-,-,3626,2107,3626,3626,3626,3626,8193,-,2181,-,-,-,6012,2181,-,-,-,6012,-,2181,-,-,6012,75,2107,-,-,6012
Did not report,DC,2116,-,1570,-,546,-,2116,-,-,921,1195,-,-,-,-,546,1570,-,-,-,-,2116,-,2116,-,-,-,-,-,-,2116,-,-,2116,-,-,2116,-,-,-,-,-,-,-,-,2116,-,-,-,-,-,-,-,-,-,2116,-,-,-,-,-,2116,-,-,-,-,2116,-,-,-,-,2116,-,-,-,-,2116,-,-,-,-,2116
Total,FL,17254676,1164210,4379288,4095914,3107880,4507383,8271142,8983534,4433163,9600126,2437836,381661,401890,1491728,5509422,5274405,4979121,9374786,908436,2549011,4219617,202826,1483834,5381042,3430367,3455767,1398189,1137977,967500,6460684,10793992,3850620,13262664,141392,9134503,7851779,268394,1889654,1850590,1280043,2129915,1295571,1231044,887583,663469,6026807,10097594,3980866,3549832,1400091,1040573,5066097,610004,836566,291134,3252342,34671,6105,48060,20933,16773273,389767,8454704,3459568,318033,44345,4978026,10501942,1559269,183299,23300,4986867,7344234,4232418,592974,17900,5067150,9345087,2189311,635320,107187,4977771
Yes,FL,1953660,139902,584500,461517,469722,298018,995153,958506,697066,935771,285388,8213,27222,179665,594803,632515,546677,1001898,45413,350201,553713,2434,183923,468600,337754,446619,196740,185626,134396,813788,1139872,682523,1271137,-,1107657,846002,-,180946,128868,210162,206720,121950,144203,179377,83961,697473,1009336,667379,509215,300284,65436,582156,76453,64642,53858,407490,12723,-,4735,14037,1891143,31021,894365,446082,31422,5354,576436,1282125,78891,8272,5354,579017,853421,478053,40396,5354,576436,1010538,343219,18113,5354,576436
No,FL,14970483,838538,3774792,3591376,2610791,4154987,7117139,7853343,3595997,8591674,2048728,360074,374010,1312063,4719266,4589818,4349336,8295584,863023,2189897,3495174,126805,1283588,4821705,2974831,2936678,1180772,952350,820557,5544874,9425609,3123017,11788585,58881,7877849,6906750,185883,1707120,1626443,1048777,1923195,1166188,1079061,705247,566358,5148093,8945956,3285278,2926701,1094788,972723,4390916,514382,771924,237276,2680217,19387,6105,43325,6896,14686792,226111,7458383,2993178,272129,26445,4220348,9105132,1465895,167448,5400,4226608,6466603,3641829,552578,-,4309473,8227498,1816397,617207,89287,4220093
Not sure,FL,235378,151561,19997,10194,8593,45033,87331,148047,117622,34871,69510,13374,-,-,151561,17325,66492,56392,-,8255,170730,-,12112,15423,108345,72469,14482,-,12546,95314,140063,45080,190297,-,142802,92576,-,930,92718,21105,-,7434,7779,2959,13149,89304,136509,28210,108124,5019,2415,92367,19169,-,-,75930,-,-,-,-,173769,61609,101298,17747,14482,12546,89304,114027,14482,5019,12546,89304,23552,109975,-,12546,89304,103833,29695,-,12546,89304
Did not report,FL,95156,34210,-,32827,18774,9345,71518,23638,22478,37810,34210,-,658,-,43793,34747,16617,20911,-,658,-,73587,4210,75314,9437,-,6195,-,-,6707,88449,-,12645,82511,6195,6450,82511,658,2561,-,-,-,-,-,-,91937,5793,-,5793,-,-,658,-,-,-,88706,2561,-,-,-,21569,71026,658,2561,-,-,91937,658,-,2561,-,91937,658,2561,-,-,91937,3219,-,-,-,91937
Total,GA,8033423,826974,2266929,2010492,1364077,1564951,3794664,4238759,587681,4407076,2513302,305342,220022,717309,2537333,2367082,2411700,4103262,349060,1218698,2156113,206290,591990,2377761,1484803,1691820,969365,525726,391957,3159742,4873681,1441391,6423396,168637,4562021,3308538,162865,897358,702524,543214,827396,517383,695112,320830,345725,3183882,4537106,1495606,1146776,650989,352531,2208729,157107,448572,268283,1683940,21876,14054,34611,10804,7800682,175129,3629134,1518857,183545,1321,2700566,4570611,618140,81275,7626,2755771,3152294,1763355,331186,64425,2722162,4077962,956855,305886,16395,2676325
Yes,GA,1394469,89875,456085,369607,281355,197547,581972,812497,63200,879143,417436,21786,12905,116108,467688,487409,323263,720145,25136,306791,338333,4064,40984,358795,326465,304284,211483,96520,55938,618661,775808,308580,1085888,-,912919,481550,-,133146,144413,111037,52105,112202,66197,52029,51533,671806,815256,233458,227335,106618,77436,376835,10554,107100,62541,215606,19179,7910,23732,-,1365875,1504,550647,276214,53425,-,514182,760357,107985,8941,3003,514182,458618,303697,98768,-,533385,648849,162614,68824,-,514182
No,GA,6373024,660166,1682120,1613421,1063122,1354195,3047529,3325496,515205,3405372,1985375,259955,207118,533544,1962794,1829529,2047158,3297716,320690,904521,1798938,51159,539529,1973655,1131683,1284704,687505,419929,336020,2463834,3909190,1130090,5223370,19565,3561434,2806663,4928,755481,553890,432177,775290,401674,626306,266262,294192,2267751,3701721,1252871,914181,544371,275095,1818037,146553,341472,205742,1229652,2696,6144,10879,10804,6330321,12181,3055888,1238509,130120,1321,1947186,3787992,508294,69724,4623,2002391,2684753,1453734,223142,61816,1949579,3413610,785709,234365,16395,1922945
Not sure,GA,104242,76933,6870,6854,5522,8063,19465,84777,9276,9368,81017,4581,-,67656,-,17435,19151,85400,-,-,18842,-,2696,8977,6046,6870,70377,9276,-,77247,26995,2721,101522,-,87668,9704,6870,1860,4220,-,-,3507,2609,2539,-,89507,19613,9276,5259,-,-,13857,-,-,-,77510,-,-,-,-,100735,3507,22599,4134,-,-,77510,22263,1860,2609,-,77510,8924,5923,9276,2609,77510,15504,8532,2696,-,77510
Did not report,GA,161688,-,121854,20610,14078,5146,145698,15990,-,113192,29474,19021,-,-,106851,32709,22128,-,3235,7386,-,151067,8781,36334,20610,95963,-,-,-,-,161688,-,12616,149072,-,10621,151067,6870,-,-,-,-,-,-,-,154818,516,-,-,-,-,-,-,-,-,161172,-,-,-,-,3751,157937,-,-,-,-,161688,-,-,-,-,161688,-,-,-,-,161688,-,-,-,-,161688
Total,HI,1065941,50876,251895,302225,175312,285633,522533,543408,81488,253204,13873,350817,366560,23224,366104,342563,334049,602731,40202,133869,284661,4479,83807,332527,191381,139187,123451,75845,119743,378505,687436,230916,818336,16688,611128,441615,13198,98392,47403,67585,198149,99440,138940,49753,58573,307708,690146,353256,218523,71119,149619,393487,45183,105856,18126,154262,15826,15084,22382,12462,1002277,9941,569217,203656,22788,8247,262033,703293,62738,19917,11298,268695,463730,313822,24774,-,263615,643962,146418,13528,-,262033
Yes,HI,47988,3765,15983,12787,11588,3865,12973,35015,-,8345,-,19910,19733,-,16842,24261,6885,22123,621,7036,18208,-,1381,8309,9636,11514,5219,5648,6282,24902,23086,22377,24762,849,27222,17186,3580,12292,-,897,3948,4385,5449,-,309,20708,28859,23627,11704,6622,11470,20651,-,9309,-,7638,-,-,-,4393,43596,-,24144,9106,3765,-,10973,37015,-,-,-,10973,26392,10623,-,-,10973,35125,1890,-,-,10973
No,HI,1006610,47111,230688,288213,161970,278627,508198,498411,81035,239964,13873,327576,344162,23224,343408,315339,324638,576427,39580,124119,263366,3118,81819,320231,181745,123433,118233,70198,110950,348380,658229,202275,789856,14478,578106,420865,7639,86100,44893,66688,191065,94900,133491,49753,58264,281457,660288,326697,206397,61784,135435,370123,45183,94038,18126,141504,15826,15084,22382,8070,948699,8579,542408,191414,19023,8247,245517,660477,62738,19917,11298,252179,434674,300062,24774,-,247099,605970,141595,13528,-,245517
Not sure,HI,9982,-,5223,772,846,3141,-,9982,-,3986,-,3331,2664,-,5854,2510,1618,4181,-,2713,3087,-,154,3986,-,3331,-,-,2510,5223,4758,6264,3718,-,5801,3563,618,-,2510,-,3136,154,-,-,-,4181,1000,2933,423,2713,2713,2713,-,2510,-,3758,-,-,-,-,9982,-,2664,3136,-,-,4181,5801,-,-,-,4181,2664,3136,-,-,4181,2868,2933,-,-,4181
Did not report,HI,1361,-,-,453,909,-,1361,-,453,909,-,-,-,-,-,453,909,-,-,-,-,1361,453,-,-,909,-,-,-,-,1361,-,-,1361,-,-,1361,-,-,-,-,-,-,-,-,1361,-,-,-,-,-,-,-,-,-,1361,-,-,-,-,-,1361,-,-,-,-,1361,-,-,-,-,1361,-,-,-,-,1361,-,-,-,-,1361
Total,ID,1382940,145854,363394,327034,236183,310475,684515,698425,118392,1196275,4374,23245,40654,99398,402635,516415,364491,800979,42311,177288,354611,7752,79836,514263,252742,241890,147053,73215,73942,552743,830197,175832,1198339,8769,816881,557698,8361,115926,121867,143667,147032,148091,179493,68902,37677,420284,973926,238972,186273,90886,42666,392486,20840,44734,32022,197438,10053,10807,6668,13659,1328693,27362,740615,290137,16082,1477,334629,854743,163758,23315,737,340387,605553,394382,48701,1057,333247,802450,205919,40584,910,333077
Yes,ID,180910,13297,49385,43140,45043,30044,79718,101192,19560,147882,388,-,13079,14123,50192,73683,42911,114364,4915,25948,34945,737,10547,60283,31477,26678,21157,13450,17317,84975,95935,17151,163759,-,117716,63194,-,11507,8526,17139,33226,21423,21586,9885,6551,51067,130598,44810,36053,13671,631,56721,5426,1699,9680,23083,-,1823,-,1079,178630,457,100405,35784,-,1477,43244,109875,22875,4916,-,43244,74987,54557,8121,-,43244,101600,27113,8768,-,43428
No,ID,1184847,131075,307097,281370,190465,274839,596738,588109,98832,1031208,3986,23245,27575,82039,352443,436842,313522,677464,37395,150978,317829,1180,66883,450219,217006,209091,125256,59766,56624,466430,718417,158319,1023879,2648,690471,492134,2241,104419,112566,126528,113806,126668,151152,59017,31127,359563,834101,192467,149184,77215,42035,335403,14639,43035,22342,166397,10053,8985,6668,12580,1138715,21070,632020,254354,15720,-,282753,736678,140522,18399,737,288511,522376,339825,40218,1057,281371,693992,177111,31816,910,281017
Not sure,ID,9056,1483,5422,1129,-,1022,6138,2917,-,9056,-,-,-,-,-,1844,7211,6857,-,362,1837,-,2198,-,1022,5835,-,-,-,413,8642,362,8694,-,8694,362,-,-,775,-,-,-,5422,-,-,2858,7219,362,362,-,-,362,775,-,-,1837,-,-,-,-,9056,-,6857,-,362,-,1837,6857,362,-,-,1837,6857,-,362,-,1837,6857,362,-,-,1837
Did not report,ID,8128,-,1489,1395,675,4569,1921,6207,-,8128,-,-,-,3236,-,4046,847,2293,-,-,-,5835,207,3760,3236,286,639,-,-,925,7203,-,2008,6121,-,2008,6121,-,-,-,-,-,1333,-,-,6795,2008,1333,675,-,-,-,-,-,-,6121,-,-,-,-,2293,5835,1333,-,-,-,6795,1333,-,-,-,6795,1333,-,-,-,6795,-,1333,-,-,6795
Total,IL,9479736,1009453,2485394,2299775,1646871,2038242,4581856,4897880,1536719,5958121,1274851,530068,179977,772591,2702156,2828707,3176281,5167091,456448,1175413,2605448,75337,761732,3015536,1841809,1702707,894119,687341,576491,3821476,5658260,1909856,7530427,39453,5769213,3656630,53894,757612,519053,651564,1164716,826812,1115505,454418,473747,3516308,5841741,1870719,1358790,480710,593251,1997296,201726,466392,159702,1996983,6604,43677,32943,2189,9320111,90439,4817417,1611986,124661,26612,2899060,5620848,818888,122474,19256,2898270,4109443,2180183,268709,16068,2905334,5016889,1161026,372896,19771,2909154
Yes,IL,1539639,258152,422735,448413,273053,137285,656154,883485,452021,834536,180198,61859,11025,167274,549490,493440,329435,838530,20301,191520,483662,5625,68967,367801,318810,285881,150516,178364,169300,733319,806320,424430,1115210,-,1038487,501152,-,122855,104797,54060,180961,117412,83148,28302,87756,760349,712556,217761,263552,144415,70321,235654,26851,51375,32656,497933,6014,3556,6336,-,1523734,-,638365,229699,23584,-,647991,758523,114329,18796,-,647991,479419,372643,39587,-,647991,615292,220293,54922,1142,647991
No,IL,7778237,708279,2030510,1784535,1368936,1885976,3793023,3985214,1009792,5065630,1070197,463666,168952,605317,2103360,2270566,2798994,4274321,436146,963978,2075804,27987,687737,2597419,1510319,1414554,689381,483404,395423,2992426,4785811,1459853,6318383,-,4674460,3089335,14441,614275,414256,580846,976089,707129,989335,421088,385991,2689228,5037622,1606933,1061770,313126,511162,1716834,151705,406302,121102,1460137,590,28353,26607,2189,7688010,48714,4120319,1365858,87106,14844,2190110,4773192,704559,103678,7488,2189320,3549606,1798825,229122,4300,2196383,4325418,936494,309260,18630,2188435
Not sure,IL,114192,43022,2960,58611,-,9599,90954,23238,74906,12559,24455,2272,-,-,20116,55945,38131,54239,-,13971,45982,-,2960,18314,5027,2272,48278,25573,11768,92919,21273,25573,88619,-,56265,57926,-,20483,-,16658,7667,-,43022,5027,-,21335,88750,46025,31196,23170,11768,44808,23170,8715,-,2272,-,11768,-,-,102424,-,53648,16429,13971,11768,18375,84048,-,-,11768,18375,75334,8715,-,11768,18375,71095,4239,8715,-,30144
Did not report,IL,47668,-,29190,8215,4881,5382,41724,5944,-,45396,-,2272,-,-,29190,8756,9722,-,-,5944,-,41724,2069,32003,7653,-,5944,-,-,2813,44855,-,8215,39453,-,8215,39453,-,-,-,-,2272,-,-,-,45396,2813,-,2272,-,-,-,-,-,5944,36640,-,-,-,-,5944,41724,5084,-,-,-,42584,5084,-,-,-,42584,5084,-,-,-,42584,5084,-,-,-,42584
Total,IN,5029256,556866,1229901,1230953,881663,1129874,2439722,2589534,295694,4050378,462092,106276,114816,305391,1954142,1506097,1263626,2904234,198478,653075,1239971,33498,462959,1766512,1056329,876510,369572,306499,190874,1713791,3315465,695024,4328116,6116,2913599,2095716,19941,532565,401597,534476,652148,514009,533712,133640,184684,1542425,3497571,843121,644086,309051,177549,1384220,80810,271398,208839,666058,4306,-,5651,-,4983301,35998,2599142,1152310,88065,9603,1180136,3278389,476706,67827,34143,1172190,2255290,1401888,195021,7597,1169460,2869604,782115,199308,6583,1171646
Yes,IN,857087,60000,282474,223955,117510,173148,338155,518931,120939,566117,114798,13072,42160,28944,351769,293531,182843,535911,12579,113900,178936,15760,46683,250013,180891,154342,99348,76323,49486,338325,518762,115296,741791,-,607318,247790,1978,65307,91979,82743,111539,80681,111548,9175,28723,275391,660769,127228,92885,36385,56853,260262,21451,13491,13442,105885,-,-,5651,-,850704,731,494024,169465,11686,-,181911,614217,58870,11879,-,172122,393546,247658,43761,-,172122,524500,117495,42343,627,172122
No,IN,4117224,496866,947427,961768,762333,948830,2069568,2047656,161386,3452350,343585,87248,72655,249733,1602373,1200473,1064645,2339520,185899,521758,1055079,14968,409491,1508690,875438,698895,270224,230176,124310,1365192,2752031,554113,3559764,3346,2280147,1821885,15192,463209,309618,449065,538789,433327,422164,124465,155961,1220625,2834983,714073,548532,269998,113979,1123958,59359,257907,176073,533089,4306,-,-,-,4097131,15787,2103298,976128,76379,3647,957772,2655636,417837,55948,28188,959615,1859075,1148362,151260,1641,956886,2345104,660132,152917,-,959071
Not sure,IN,48466,-,-,40691,1820,5956,29229,19237,13369,29142,-,5956,-,26714,-,8384,13369,25093,-,17417,5956,-,5956,5868,-,23273,-,-,13369,6564,41902,21905,26561,-,22425,26041,-,4048,-,2668,1820,-,-,-,-,39929,1820,1820,2668,2668,6717,-,-,-,19324,20605,-,-,-,-,31756,16710,1820,6717,-,5956,33974,8537,-,-,5956,33974,2668,5868,-,5956,33974,-,4488,4048,5956,33974
Did not report,IN,6480,-,-,4539,-,1941,2770,3710,-,2770,3710,-,-,-,-,3710,2770,3710,-,-,-,2770,829,1941,-,-,-,-,3710,3710,2770,3710,-,2770,3710,-,2770,-,-,-,-,-,-,-,-,6480,-,-,-,-,-,-,-,-,-,6480,-,-,-,-,3710,2770,-,-,-,-,6480,-,-,-,-,6480,-,-,-,-,6480,-,-,-,-,6480
Total,IA,2349714,306370,491936,579635,417407,554366,1159201,1190513,102351,2077752,47845,37365,84401,160467,745203,805253,638791,1395745,85862,309922,533252,24932,228101,931493,347010,424884,239434,128714,50078,882153,1467561,311485,2011274,26955,1479873,850075,19766,156088,131913,235929,332347,256707,269515,94526,57231,815457,1587942,420799,431517,131542,50881,563749,57289,57201,29568,366140,17087,-,3213,5418,2306298,20309,1280502,383779,72918,-,612515,1473552,209990,43314,4155,618703,1040833,629790,62525,-,616566,1368267,275693,86523,2666,616566
Yes,IA,418139,53626,92023,94679,80581,97231,167116,251023,22664,364699,9532,-,21244,33504,160071,123457,101108,258707,13756,44950,100726,-,38195,146227,56486,77419,70153,1245,28414,185887,232253,75387,337602,5151,286432,130149,1558,20958,24483,44648,53167,42463,27048,25803,6571,172998,273092,70654,93062,22417,7196,86631,5157,5741,10665,68098,-,-,-,2807,415333,-,178067,89082,18704,-,132287,229196,50197,6460,-,132287,147927,128917,9009,-,132287,222906,53667,7958,1322,132287
No,IA,1900175,238072,393522,483495,329457,455629,965034,935141,60005,1703136,36930,36946,63158,121954,563509,680336,534376,1128627,72106,264972,426135,8335,189487,775350,275851,342456,167898,127469,21664,689875,1210300,231089,1662373,6712,1183647,713412,3116,135130,107429,191282,279180,207294,242467,68723,50660,618010,1305057,348762,338455,104116,42303,469266,47123,50077,18903,281445,17087,-,3213,2612,1876163,3711,1089016,294697,54214,-,462248,1230936,159793,36855,4155,468436,880947,500873,52055,-,466299,1140351,213615,78565,1344,466299
Not sure,IA,14802,-,6392,1460,6950,-,11959,2843,5009,8410,1383,-,-,5009,6950,1460,1383,8410,-,-,6392,-,-,8410,-,5009,1383,-,-,6392,8410,5009,9793,-,9793,5009,-,-,-,-,-,6950,-,-,-,7852,9793,1383,-,5009,1383,7852,5009,1383,-,-,-,-,-,-,14802,-,13419,-,-,-,1383,13419,-,-,-,1383,11959,-,1460,-,1383,5009,8410,-,-,1383
Did not report,IA,16598,14673,-,-,419,1506,15092,1506,14673,1506,-,419,-,-,14673,-,1925,-,-,-,-,16598,419,1506,14673,-,-,-,-,-,16598,-,1506,15092,-,1506,15092,-,-,-,-,-,-,-,-,16598,-,-,-,-,-,-,-,-,-,16598,-,-,-,-,-,16598,-,-,-,-,16598,-,-,-,-,16598,-,-,-,-,16598,-,-,-,-,16598
Total,KS,2146524,234508,510709,540479,373674,487154,1053904,1092620,185050,1778693,69499,31484,81797,112369,649479,713996,670680,1098643,105927,286002,638225,17726,190493,744114,391203,373235,264497,67514,115468,863848,1282676,266125,1871388,9010,1334218,802681,9625,204458,161085,200606,296319,247591,202149,84024,72987,677304,1540227,414071,355636,150129,33798,600773,39758,41000,94663,277379,2187,18770,14860,6567,2097432,14893,1153994,407562,81287,-,503681,1344531,192253,71698,17652,520391,933952,543199,157921,10120,501332,1247965,316322,81287,3084,497865
Yes,KS,418199,63353,144586,94628,64204,51429,226783,191416,31434,372554,7267,-,6944,44507,178460,85601,109631,148169,10542,39946,216782,2761,26713,91610,44244,123618,55575,20584,55854,240960,177239,67754,350445,-,223893,194306,-,78107,19850,11672,45187,55429,45648,12898,6133,143277,295081,66494,44143,19341,10741,110377,7030,-,45831,32888,-,-,1650,-,417561,639,253423,64824,24808,-,75145,288374,33293,21387,-,75145,213165,100329,29560,-,75145,266818,64535,10080,1622,75145
No,KS,1713838,171156,366124,440393,307848,428318,820595,893242,153616,1391652,62232,31484,74853,67863,467007,620326,558642,948723,93057,245401,420063,6594,158230,645318,346959,247865,208922,46929,59613,621137,1092701,198371,1514828,639,1107193,605392,1253,124144,141235,188935,251132,192162,156501,71126,66854,521748,1243715,346800,311492,130788,23057,488843,32727,39447,48833,232988,2187,18770,13210,6567,1673756,5882,898364,342738,56479,-,416256,1054604,158304,50312,17652,432966,720787,440662,128361,10120,413907,981146,251133,69656,1462,410440
Not sure,KS,6115,-,-,3787,-,2328,3787,2328,-,6115,-,-,-,-,-,3709,2407,1751,2328,655,1380,-,2812,1552,-,1751,-,-,-,1751,4364,-,6115,-,3132,2983,-,2207,-,-,-,-,-,-,-,3908,1431,776,-,-,-,1552,-,1552,-,3132,-,-,-,-,6115,-,2207,-,-,-,3908,1552,655,-,-,3908,-,2207,-,-,3908,-,655,1552,-,3908
Did not report,KS,8372,-,-,1671,1622,5079,2739,5633,-,8372,-,-,-,-,4011,4361,-,-,-,-,-,8372,2739,5633,-,-,-,-,-,-,8372,-,-,8372,-,-,8372,-,-,-,-,-,-,-,-,8372,-,-,-,-,-,-,-,-,-,8372,-,-,-,-,-,8372,-,-,-,-,8372,-,-,-,-,8372,-,-,-,-,8372,-,-,-,-,8372
Total,KY,3358135,252971,872508,890748,591912,749996,1621224,1736911,190640,2760492,171140,64945,170919,197774,1359696,1011217,789448,1827620,172275,456815,895140,6285,343935,1019808,764683,513507,352549,203822,159831,1267353,2090782,650730,2677411,29994,1934648,1394430,29057,400313,283544,232352,444289,193678,370177,94230,61047,1278504,1962908,616247,413244,377919,123733,880263,142999,217271,63914,626709,43019,20059,286,3101,3273139,20860,1589698,653775,73039,8898,1032725,1915831,319976,75508,8898,1037922,1286745,838051,180300,8898,1044140,1413413,663574,174528,69536,1037084
Yes,KY,479059,47376,144156,125523,77549,84456,145271,333789,56548,371882,44061,-,6569,44331,185245,157001,92482,216493,30407,90845,141314,-,53918,110768,104831,48525,81309,79709,-,205179,273880,104544,374515,-,357122,121937,-,93049,41170,29693,76239,8365,34086,13877,-,182580,238460,73247,21594,63243,14575,72317,6569,44739,10110,84302,-,17730,-,-,461329,-,244245,94327,5283,-,135204,274813,62474,6569,-,135204,174941,130514,38400,-,135204,167279,169633,4132,2811,135204
No,KY,2857762,205595,707976,765225,514363,664603,1475016,1382746,134092,2385166,118180,64945,155379,153442,1165553,854216,684551,1601220,141868,365970,744927,3777,286573,909040,659852,464982,271240,106244,159831,1044305,1813457,536350,2293926,27487,1568555,1263595,25613,307264,233404,202659,368051,185313,336091,80353,61047,1083581,1715477,543000,381743,296806,109159,807946,136431,163561,53803,539899,43019,2329,286,3101,2793941,17415,1345453,550477,67756,-,894076,1632047,257502,68939,-,899274,1111804,707538,132929,-,905491,1246134,484971,170396,57827,898435
Not sure,KY,18806,-,17869,-,-,937,937,17869,-,937,8898,-,8971,-,8898,-,9908,9908,-,-,8898,-,937,-,-,-,-,17869,-,17869,937,9835,8971,-,8971,8898,937,-,8971,-,-,-,-,-,-,9835,8971,-,9908,17869,-,-,-,8971,-,-,-,-,-,-,17869,937,-,8971,-,8898,937,8971,-,-,8898,937,-,-,8971,8898,937,-,8971,-,8898,937
Did not report,KY,2507,-,2507,-,-,-,-,2507,-,2507,-,-,-,-,-,-,2507,-,-,-,-,2507,2507,-,-,-,-,-,-,-,2507,-,-,2507,-,-,2507,-,-,-,-,-,-,-,-,2507,-,-,-,-,-,-,-,-,-,2507,-,-,-,-,-,2507,-,-,-,-,2507,-,-,-,-,2507,-,-,-,-,2507,-,-,-,-,2507
Total,LA,3432241,290501,808779,912189,610491,810281,1621123,1811118,252725,2060082,1011080,48746,59607,192507,1464576,978755,796403,1815851,150305,598196,854075,13814,331890,1131361,709466,676226,344289,87644,151365,1394290,2037951,589935,2825451,16855,2002167,1399968,30107,423908,247304,252012,247401,263569,298667,94879,73749,1530752,2009890,742978,442128,274183,183545,742083,47951,238206,175743,604180,23293,50764,2091,2091,3326942,38198,1382202,808954,82056,5339,1153691,1857959,338032,31246,10204,1194800,1250561,819198,160774,16133,1185576,1730112,405712,110305,536,1185576
Yes,LA,587844,56586,206178,136501,92382,96197,225048,362797,11745,337684,222200,5969,10247,8066,186350,230181,163247,316183,16133,50252,203174,2103,24580,112173,122612,176244,95412,40604,16218,324536,263308,161482,426362,-,343754,244091,-,85083,28179,38198,38868,39278,44066,17176,6322,290674,299813,143064,92717,51309,33925,96299,14199,37315,3786,174461,-,4322,-,-,583029,493,181933,99730,39888,-,266293,242150,71804,9150,550,264190,161976,139793,20277,-,265799,248203,55949,17892,-,265799
No,LA,2836236,231493,602601,774073,518109,709960,1395024,1441212,240980,1718275,786457,41162,49361,184441,1278226,744450,629119,1499668,133121,547945,650901,4601,303836,1014501,586853,499982,248877,47040,135147,1069754,1766482,428453,2394966,12817,1658413,1154826,22997,338825,219125,213814,208533,224291,254600,77703,67428,1231917,1710077,598862,349411,222874,149620,644733,33752,200891,171957,422609,23293,46442,2091,2091,2742861,30596,1200269,709224,42168,5339,879237,1615809,266228,22095,9654,922450,1088585,679405,140497,16133,911616,1481909,349763,92413,536,911616
Not sure,LA,1051,-,-,-,-,1051,1051,-,-,1051,-,-,-,-,-,1051,-,-,1051,-,-,-,1051,-,-,-,-,-,-,-,1051,-,1051,-,-,1051,-,-,-,-,-,-,-,-,-,1051,-,1051,-,-,-,1051,-,-,-,-,-,-,-,-,1051,-,-,-,-,-,1051,-,-,-,-,1051,-,-,-,-,1051,-,-,-,-,1051
Did not report,LA,7109,2422,-,1615,-,3072,-,7109,-,3072,2422,1615,-,-,-,3072,4037,-,-,-,-,7109,2422,4687,-,-,-,-,-,-,7109,-,3072,4037,-,-,7109,-,-,-,-,-,-,-,-,7109,-,-,-,-,-,-,-,-,-,7109,-,-,-,-,-,7109,-,-,-,-,7109,-,-,-,-,7109,-,-,-,-,7109,-,-,-,-,7109
Total,ME,1073016,70241,251432,250365,206726,294252,518988,554028,34736,1004606,6941,366,26366,39393,376327,318169,339128,628453,41664,147045,243476,12379,80936,473787,209588,174891,73847,37000,22967,300318,772698,138653,920274,14088,613793,448463,10760,58991,93937,106950,159543,125834,130844,42268,40152,314497,759579,236293,203405,64379,49045,303904,24054,44158,30466,158524,1480,724,-,-,1051750,19061,590765,196626,31931,945,252750,705197,97139,17929,-,252750,520252,254086,44138,-,254541,637468,141990,40808,-,252750
