Diagnosis,State,Total,    Age 18 - 24,    Age 25 - 39,    Age 40 - 54,    Age 55 - 64,    Age 65 and above,    Male,    Female,    Hispanic or Latino (may be of any race),"    White alone, not Hispanic","    Black alone, not Hispanic","    Asian alone, not Hispanic","    Two or more races + Other races, not Hispanic",    Less than high school,    High school or GED,    Some college/associate’s degree,    Bachelor’s degree or higher,    Married,    Widowed,    Divorced/separated,    Never married,No Marriage Status,    1 person in the household,    2 people in the household,    3 people in the household,    4 people in the household,    5 people in the household,    6 people in the household,    7 or more people in the household,    Children in household,    No children,    Received loss of employment income,    Did not receive loss of employment income,    Did not report loss of employment income,Employed,Unemployed,    Did not report employment status,"    Less than $25,000","    $25,000 - $34,999","    $35,000 - $49,999","    $50,000 - $74,999","    $75,000 - $99,999","    $100,000 - $149,999","    $150,000 - $199,999","    $200,000 and above",    Did not report HH income,    Regular income sources like those received before the pandemic,    Credit cards or loans,    Money from savings or selling assets or possessions,    Borrowing from friends or family,    Unemployment insurance (UI) benefit payments,    Stimulus (economic impact) payment,    Money saved from deferred or forgiven payments (to meet spending needs),    Supplemental Nutrition Assistance Program (SNAP),    Other,    Did not report money lending in past 7 days,    Serving on active duty,    Serving in Reserve or National Guard,    Spouse serving on active duty,    Spouse serving in Reserve or National Guard,    No active duty service (self or spouse),    Did not report Military status,    No difficulty seeing,    Some difficulty seeing,    A lot of difficulty seeing,Blind,    Did not report difficulty seeing,    No difficulty hearing,    Some difficulty hearing,    A lot of difficulty hearing,Deaf,    Did not report difficulty hearing,    No difficulty remembering/concetrating,    Some difficulty remembering/concetrating,    A lot of difficulty remembering/concetrating,    Cannot do at all remembering/concetrating,    Did not report difficulty remembering/concetrating,    No difficulty walking,    Some difficulty walking,    A lot of difficulty walking,    Cannot walk at all,    Did not report difficulty walking
Total,AZ,5753909,420070,1575402,1318329,965555,1474554,2807642,2946267,1642047,3341356,242935,241551,286020,606167,1556383,1981670,1609689,3241008,305293,752472,1348355,106781,397877,1994008,1061007,1053464,665896,251756,329901,2085845,3668064,1390327,4323831,39751,3153441,2566057,34411,508645,420122,535779,736178,660437,556509,235770,236068,1864401,3365063,1345907,1128770,608425,456518,1693825,139039,382455,171039,1005514,32070,28389,36255,6571,5619679,42783,2764875,1254971,208421,6325,1519316,3403628,698474,106272,16063,1529471,2489484,1404657,328750,9903,1521116,3085103,963806,177206,8759,1519035
Yes,AZ,797209,52161,283102,227457,101769,132720,326435,470775,395901,351839,17559,14242,17668,89998,175464,317208,214540,458242,20661,122437,189637,6233,34143,193413,123928,178723,120811,64851,81340,459775,337434,167442,629767,-,504175,289290,3744,37225,64007,81132,99969,66649,80098,30349,21862,315917,463579,206976,216237,104196,51904,269894,29585,34905,6862,89691,-,5610,3260,-,785896,2443,373375,144326,47726,-,231782,426371,96080,34784,2619,237355,310289,204206,45432,7163,230118,403689,127310,36445,1727,228038
No,AZ,4902773,364325,1277190,1082774,857916,1320569,2450759,2452014,1227783,2962283,221792,222562,268352,511260,1363464,1644674,1383375,2753720,280995,626516,1151090,90452,351466,1774519,932045,872374,542705,185158,244506,1610486,3292287,1199300,3677323,26150,2635408,2250300,17065,468390,354045,448513,633657,593788,472849,205421,214206,1511906,2884951,1134263,902683,503090,402235,1407790,104787,347549,164177,888635,27162,22779,32994,6571,4804677,20427,2380533,1100626,157232,6325,1258057,2960528,598138,71488,13444,1259176,2169601,1190198,282178,2740,1258057,2671959,824965,140761,7032,1258057
Not sure,AZ,35712,-,4667,5267,5870,19909,21408,14304,18363,14969,-,2380,-,4908,13872,9867,7065,22066,3637,2380,7629,-,6599,17036,3895,-,2380,1747,4055,12077,23635,18971,16740,-,9244,26467,-,3030,2070,6135,1412,-,3562,-,-,19502,10781,4667,9850,-,2380,15002,4667,-,-,14725,4908,-,-,-,20986,9817,10967,8880,-,-,15865,15590,4257,-,-,15865,9594,10253,-,-,15865,9455,10392,-,-,15865
Did not report,AZ,18215,3584,10443,2831,-,1357,9040,9175,-,12264,3584,2367,-,-,3584,9921,4709,6980,-,1140,-,10095,5668,9040,1140,2367,-,-,-,3507,14708,4613,-,13602,4613,-,13602,-,-,-,1140,-,-,-,-,17075,5752,-,-,1140,-,1140,-,-,-,12462,-,-,-,-,8119,10095,-,1140,3463,-,13612,1140,-,-,-,17075,-,-,1140,-,17075,-,1140,-,-,17075
Total,AR,2264877,214091,519950,598420,433741,498675,1087222,1177655,119215,1726331,282839,58214,78278,148957,921203,700971,493747,1327387,107524,382174,429010,18782,210853,910722,395448,386884,188379,80229,92361,912198,1352679,397221,1863518,4138,1350648,912733,1497,218090,227054,161889,253656,183752,188378,81347,73860,876851,1452768,392461,351633,134326,63064,607269,27507,102563,35187,396612,8438,4996,12248,2040,2211879,27316,950819,495764,80398,3292,734604,1253969,235442,37576,3292,734598,863260,556298,102519,8202,734598,1095376,363749,65750,5404,734598
Yes,AR,408053,9074,104623,107581,151609,35167,137202,270852,31587,291048,80290,-,5128,32794,207952,107693,59613,209148,14500,121598,50585,12222,14090,167723,44245,64266,50307,25095,42327,185203,222850,50360,357693,-,295835,112219,-,36382,52858,28944,42989,34716,19731,36686,22538,133209,246502,67833,59227,8832,12499,94785,1041,26866,13148,78290,-,-,-,-,407489,564,209688,83260,10325,-,104780,260593,40573,3169,-,103719,175378,122945,6011,-,103719,220827,78697,3845,965,103719
No,AR,1833965,205018,409215,480354,280091,459287,931682,902283,87628,1412424,202549,58214,73150,116163,706120,583661,428021,1100664,93024,256354,378425,5498,196763,734146,348549,322618,130942,55134,45812,712989,1120976,340346,1490543,3076,1047827,785703,435,181708,174195,132945,208626,149036,166355,42007,51322,727770,1201573,320406,288183,121272,48272,512484,26466,75697,22039,306672,8438,774,12248,2040,1786815,25690,736185,410464,65851,3292,618173,990722,190537,30185,3292,619229,685228,424797,96508,8202,619229,867563,285052,57682,4439,619229
Not sure,AR,21797,-,6112,9423,2040,4222,18339,3458,-,21797,-,-,-,-,7130,8555,6112,17575,-,4222,-,-,-,7791,2654,-,7130,-,4222,14006,7791,6515,15282,-,6987,14811,-,-,-,-,2040,-,2293,2654,-,14811,4694,4222,4222,4222,2293,-,-,-,-,10588,-,4222,-,-,17575,-,4946,2040,4222,-,10588,2654,4333,4222,-,10588,2654,8555,-,-,10588,6987,-,4222,-,10588
Did not report,AR,1062,-,-,1062,-,-,-,1062,-,1062,-,-,-,-,-,1062,-,-,-,-,-,1062,-,1062,-,-,-,-,-,-,1062,-,-,1062,-,-,1062,-,-,-,-,-,-,-,-,1062,-,-,-,-,-,-,-,-,-,1062,-,-,-,-,-,1062,-,-,-,-,1062,-,-,-,-,1062,-,-,-,-,1062,-,-,-,-,1062
